更新时间: 2026-07-20 18:35:41（北京时间）

更新时间,#genre#
2026-07-20 18:35:41,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV4K,http://171.212.170.157:8088/rtp/239.94.0.20:5140$四川省电信
CCTV4K,http://171.213.169.179:8899/rtp/239.94.0.20:5140$四川省电信
CCTV4K,http://180.158.97.153:9998/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://180.158.97.153:9998/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://220.184.214.138:9999/rtp/233.50.201.226:5140$浙江省电信
兵器科技,http://118.79.119.170:8000/rtp/226.0.2.223:9696$山西省联通
兵器科技,http://180.158.97.153:9998/rtp/233.18.204.178:5140$上海市电信
风云音乐,http://118.79.119.170:8000/rtp/226.0.2.220:9672$山西省联通
风云音乐,http://180.158.97.153:9998/rtp/233.18.204.185:5140$上海市电信
风云足球,http://118.79.119.170:8000/rtp/226.0.2.225:9712$山西省联通
风云足球,http://180.158.97.153:9998/rtp/233.18.204.176:5140$上海市电信
风云剧场,http://118.79.119.170:8000/rtp/226.0.2.227:9728$山西省联通
风云剧场,http://180.158.97.153:9998/rtp/233.18.204.183:5140$上海市电信
怀旧剧场,http://118.79.119.170:8000/rtp/226.0.2.224:9704$山西省联通
怀旧剧场,http://180.158.97.153:9998/rtp/233.18.204.182:5140$上海市电信
第一剧场,http://118.79.119.170:8000/rtp/226.0.2.221:9680$山西省联通
第一剧场,http://180.158.97.153:9998/rtp/233.18.204.184:5140$上海市电信
女性时尚,http://118.79.119.170:8000/rtp/226.0.2.226:9720$山西省联通
女性时尚,http://180.158.97.153:9998/rtp/233.18.204.180:5140$上海市电信
世界地理,http://118.79.119.170:8000/rtp/226.0.2.222:9688$山西省联通
世界地理,http://180.158.97.153:9998/rtp/233.18.204.179:5140$上海市电信
央视台球,http://118.79.119.170:8000/rtp/226.0.2.216:9640$山西省联通
央视台球,http://180.158.97.153:9998/rtp/233.18.204.177:5140$上海市电信
高尔夫网球,http://180.158.97.153:9998/rtp/233.18.204.181:5140$上海市电信
央视文化精品,http://118.79.119.170:8000/rtp/226.0.2.219:9664$山西省联通
央视文化精品,http://180.158.97.153:9998/rtp/233.18.204.186:5140$上海市电信
电视指南,http://118.79.119.170:8000/rtp/226.0.2.218:9656$山西省联通
中学生,http://27.10.78.144:8007/rtp/225.0.4.184:7980$重庆市联通
中学生,http://27.10.78.144:8008/rtp/225.0.4.184:7980$重庆市联通
中学生,http://27.10.78.144:8010/rtp/225.0.4.184:7980$重庆市联通
国学频道,http://115.58.50.183:7001/rtp/225.1.4.196:1311$河南省联通
国学频道,http://118.79.119.170:8000/rtp/226.0.2.116:8840$山西省联通
国学频道,http://222.141.237.151:8003/rtp/225.1.4.196:1311$河南省联通
环球奇观,http://118.79.119.170:8000/rtp/226.0.2.111:8800$山西省联通

卫视频道,#genre#
湖南卫视,http://112.255.235.152:4000/udp/239.253.254.82:8000$山东省联通
湖南卫视,http://115.58.50.183:7001/rtp/225.1.4.82:1111$河南省联通
湖南卫视,http://118.79.119.170:8000/rtp/226.0.2.143:9056$山西省联通
湖南卫视,http://171.212.170.157:8088/rtp/239.94.0.116:5140$四川省电信
湖南卫视,http://171.212.170.157:8088/rtp/239.94.0.61:5140$四川省电信
湖南卫视,http://171.213.169.179:8899/rtp/239.94.0.116:5140$四川省电信
湖南卫视,http://171.213.169.179:8899/rtp/239.94.0.61:5140$四川省电信
湖南卫视,http://180.158.97.153:9998/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://180.158.97.153:9998/rtp/233.18.204.86:5140$上海市电信
